model,split,cohort,comparable,n_images,n_subjects,source_file,all_n,all_mean_dice,all_median_dice,all_iqr_dice,all_mean_recall,all_mean_precision,all_zero_dice_n,all_zero_dice_rate,all_empty_pred_n,all_wrong_place_n,D1_D4_n,D1_D4_mean_dice,D1_D4_median_dice,D1_D4_iqr_dice,D1_D4_mean_recall,D1_D4_mean_precision,D1_D4_zero_dice_n,D1_D4_zero_dice_rate,D1_D4_empty_pred_n,D1_D4_wrong_place_n,D1_n,D1_mean_dice,D1_median_dice,D1_iqr_dice,D1_mean_recall,D1_mean_precision,D1_zero_dice_n,D1_zero_dice_rate,D1_empty_pred_n,D1_wrong_place_n,D5_D10_n,D5_D10_mean_dice,D5_D10_median_dice,D5_D10_iqr_dice,D5_D10_mean_recall,D5_D10_mean_precision,D5_D10_zero_dice_n,D5_D10_zero_dice_rate,D5_D10_empty_pred_n,D5_D10_wrong_place_n,mean_dice_ci_lo,mean_dice_ci_hi,zero_dice_rate_ci_lo,zero_dice_rate_ci_hi,median_dice__Light,mean_recall__Light,miss_rate__Light,median_dice__Intermediate,mean_recall__Intermediate,miss_rate__Intermediate,median_dice__Tan,mean_recall__Tan,miss_rate__Tan,median_dice__Brown,mean_recall__Brown,miss_rate__Brown,median_dice__Dark,mean_recall__Dark,miss_rate__Dark,fairness_gap_median_dice,fairness_best_group,fairness_worst_group,fairness_miss_rate_gap,kruskal_H,kruskal_p,kruskal_significant,recall_gap_all,recall_gap_small,gap_shrinks_with_size
dinov2_ft__seed0,test,REFERENCE,True,185,28,/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N3_RESULTS/tables/test_per_image__dinov2_ft__seed0.csv,185,0.7901600563440758,0.8305261588910419,0.17583617637558813,0.7715673916069271,0.8472639890712915,0,0.0,0,0,74,0.7756927655546478,0.829199375845109,0.19233442255135524,0.7768055674575503,0.8084502484904907,0,0.0,0,0,19,0.7578794009499502,0.770594217637658,0.17681912294907087,0.7861324919178556,0.7825251517900366,0,0.0,0,0,111,0.7998049168703609,0.8341489388676183,0.17159217150602046,0.7680752743731781,0.8731398161251589,0,0.0,0,0,0.7510518741194349,0.8239133750440822,0.0,0.0,0.7663575812981586,0.7200163145012191,0.0,0.8577099957936389,0.7917936420977536,0.0,0.8043699458534435,0.7465067319438458,0.0,0.8604572965702757,0.8160504086745488,0.0,0.8374698716695981,0.7816281702510018,0.0,0.09409971527211713,Brown (V),Light (II-III),0.0,10.20343894435814,0.037136726736885846,True,0.09603409417332975,0.13435853952840637,False
distill_segformer_b5_teacher,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_distill_segformer_b5_teacher.csv,185,0.7726825624487283,0.8273092369477911,0.19137358576994357,0.7163299380046717,0.8833983601470862,0,0.0,0,0,74,0.8022810455223324,0.8459833898305459,0.14304729894540213,0.7855708378662855,0.8463426680840886,0,0.0,0,0,19,0.7781364443367854,0.7664185639229422,0.17322289240020017,0.8281475065060505,0.7636457555331474,0,0.0,0,0,111,0.752950240399659,0.7986111111111112,0.23067937262641447,0.6701693380969292,0.9081021548557511,0,0.0,0,0,0.7238928763287303,0.8157495192843246,0.0,0.0,0.7986111111111112,0.7616437477185999,0.0,0.8718062773495954,0.7867115376061017,0.0,0.8642237763281106,0.6790318224694717,0.0,0.84148464259644,0.7070616455914267,0.0,0.8032394017023387,0.6567334996252422,0.0,0.07319516623848421,Intermediate (III-IV),Light (II-III),0.0,7.434501037048335,0.11463244427439537,False,0.1299780379808595,0.1222989667966411,False
segformer_b2_teacher,test,REFERENCE,True,185,28,/scratch/tbommawa/BRUISE_UNIFIED/results/analysis_native/per_image_segformer_b2_teacher.csv,185,0.769239935340936,0.8191682870225178,0.15381152515919505,0.7281349717945771,0.8592070384163075,0,0.0,0,0,74,0.7502887737889085,0.817286806180029,0.16066881414846546,0.7345542058350757,0.8104613888329742,0,0.0,0,0,19,0.7227743398335867,0.8226030569708198,0.21489328701235,0.8222978403775619,0.7156106406092464,0,0.0,0,0,111,0.7818740430422874,0.8250921833131026,0.16175822312594546,0.7238554824342447,0.8917041381385299,0,0.0,0,0,0.7320861562533213,0.8021130883338536,0.0,0.0,0.7888821014050091,0.7344223989295477,0.0,0.8667802135086199,0.7856056440033193,0.0,0.7728788986917856,0.6769354922488326,0.0,0.8098617176128093,0.7294975462688729,0.0,0.7934381111030636,0.7055927471972541,0.0,0.09390131481683428,Intermediate (III-IV),Tan (IV),0.0,10.854476123604968,0.028249114833473723,True,0.10867015175448669,0.08879713029466785,True
segformer_b0_distilled,test,REFERENCE,True,185,28,/scratch/tbommawa/BRUISE_UNIFIED/results/analysis_native/per_image_segformer_b0_distilled.csv,185,0.7680109559522049,0.8166814266162145,0.1682586829160999,0.723120448318381,0.8624599929086207,0,0.0,0,0,74,0.7619275830991981,0.8157084009131432,0.15521062495645466,0.7430742219954167,0.8195051794724781,0,0.0,0,0,19,0.7186475420244666,0.829388329036794,0.16035838425128146,0.7831719675795877,0.7135380038739069,0,0.0,0,0,111,0.7720665378542093,0.8169649628393751,0.16999354973594527,0.7098179325336906,0.8910965351993824,0,0.0,0,0,0.7378556222570002,0.7963467887340971,0.0,0.0,0.829388329036794,0.7100686435471025,0.0,0.8191568073782292,0.7565300317513146,0.0,0.7952222499178292,0.6810543359256588,0.0,0.8221387427998998,0.7468629449759419,0.0,0.7863678939404857,0.7151297303180981,0.0,0.043020435096308374,Light (II-III),Dark (VI),0.0,1.9300820212798726,0.7486169099645315,False,0.07547569582565583,0.16681459665422183,False
sam_ft__seed1,test,REFERENCE,True,185,28,/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N4_RESULTS/tables/test_per_image__sam_ft__seed1.csv,185,0.7634199315514152,0.818530504614647,0.19502908323716994,0.7413705394245629,0.8213057041335888,0,0.0,0,0,74,0.7509726487550591,0.8285036353876933,0.1694287796855405,0.7698461579168793,0.7590785460037546,0,0.0,0,0,19,0.7645925330467463,0.8595213319458896,0.16419109530881693,0.8535281350296754,0.7414945056546594,0,0.0,0,0,111,0.7717181200823194,0.8158162322055833,0.2004762342829981,0.7223867937630185,0.8627904762201452,0,0.0,0,0,0.7273466382877137,0.7960183646019526,0.0,0.0,0.8137632338787295,0.7324326349357181,0.0,0.8441451990191464,0.7882787149300221,0.0,0.8119451710744067,0.6537316864158877,0.0,0.8423584173778123,0.810814557525492,0.0,0.7918461835251752,0.7169255131179948,0.0,0.0522990154939712,Intermediate (III-IV),Dark (VI),0.0,8.529046752136082,0.07401165031781663,False,0.15708287110960428,0.14185227520221677,True
dermlip_ft__seed0,test,REFERENCE,True,185,28,/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N3_RESULTS/tables/test_per_image__dermlip_ft__seed0.csv,185,0.704268940140205,0.7583998633821457,0.23261326158146123,0.6949194074043554,0.7537669086556363,0,0.0,0,0,74,0.6792363956529968,0.7463819259935787,0.21740015646491484,0.7080841378535515,0.6829533378220642,0,0.0,0,0,19,0.6707427851856517,0.7477901693515077,0.17664387673701665,0.7707392419924961,0.6196139619256847,0,0.0,0,0,111,0.7209573031316772,0.7636569487687518,0.22722495909851492,0.6861429204382247,0.8009759558780176,0,0.0,0,0,0.6705782890068017,0.7385960825083618,0.0,0.0,0.7975920036347115,0.6876832040604158,0.0,0.7639431447448235,0.7718543909833925,0.0,0.6765631594475578,0.619260737416847,0.0,0.7971147008026008,0.7725744765460939,0.0,0.7183922665988298,0.6389647461134467,0.0,0.12102884418715365,Light (II-III),Tan (IV),0.0,12.026705763662676,0.017153775303171765,True,0.15331373912924695,0.25976546061988814,False
distill_expA_b5_to_b0_response,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_distill_expA_b5_to_b0_response.csv,185,0.768306009518771,0.8060798228395993,0.18359555971347996,0.712771607995199,0.8713399617840425,1,0.005405405405405406,0,1,74,0.7570819575132736,0.798838373326197,0.1833043557220263,0.728765060015966,0.8178880839485749,1,0.013513513513513514,0,1,19,0.7087819310789769,0.7879475542107918,0.1783658004155807,0.6933664294901829,0.7639717851522653,1,0.05263157894736842,0,1,111,0.7757887108557693,0.8083076617310941,0.1809482060885622,0.7021093066480212,0.9069745470076874,0,0.0,0,0,0.7343322793490298,0.8011368269004286,0.0,0.018404907975460124,0.8030634573304157,0.7080919141532134,0.02564102564102564,0.8403463378251164,0.765089951631445,0.0,0.7586841492902743,0.6693656411620333,0.0,0.7944611277944611,0.7359649635372283,0.0,0.7923378319547235,0.6866542788122392,0.0,0.08166218853484208,Intermediate (III-IV),Tan (IV),0.02564102564102564,5.490555800453421,0.240560880441407,False,0.09572431046941166,0.15906388317469344,False
distill_segformer_b5__seed2026,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_distill_segformer_b5__seed2026.csv,185,0.7676155820452869,0.8297678652708238,0.1820329002419343,0.7214749269944424,0.8582430553701607,1,0.005405405405405406,0,1,74,0.7635958753853427,0.8425033350980942,0.149439241375658,0.7455315731460425,0.8090997982187874,0,0.0,0,0,19,0.7225456480338067,0.7549496916585524,0.20159360914164237,0.7756194067210044,0.7242450141041603,0,0.0,0,0,111,0.7702953864852496,0.820759789596727,0.19855428521608975,0.7054371628933753,0.8910052268044094,1,0.009009009009009009,0,1,0.7168050944776703,0.8132559198571119,0.0,0.016599239280774527,0.7440788631417232,0.6822884776738436,0.02564102564102564,0.8852158575236334,0.8158155398687665,0.0,0.8695332995570161,0.7194094587670804,0.0,0.824086726792384,0.7593836351288046,0.0,0.8144067356166519,0.6649939621915187,0.0,0.14113699438191019,Intermediate (III-IV),Light (II-III),0.02564102564102564,14.802811702917666,0.005128168011515969,True,0.1508215776772478,0.16901495408192857,False
distill_p3_adaptive_boundary,test,REFERENCE,True,185,28,/scratch/tbommawa/bruise_work/outputs/per_image_distill_p3_adaptive_boundary.csv,185,0.7668427647712083,0.8221336874723328,0.1616182838826986,0.7276553802062046,0.8575165577838472,1,0.005405405405405406,0,1,74,0.7546575010578103,0.8199049527919033,0.14058443552052946,0.7417188571008946,0.8049999976396874,1,0.013513513513513514,0,1,19,0.6586138898335081,0.8221336874723328,0.17831403371129106,0.6880791367872184,0.6967832463114975,1,0.05263157894736842,0,1,111,0.7749662739134737,0.8226735518956244,0.1721767157879811,0.7182797289430778,0.892527597879954,0,0.0,0,0,0.7269166865861028,0.8039044886728401,0.0,0.018404907975460124,0.7947842285004657,0.6609931755522143,0.02564102564102564,0.8399426959728491,0.7539812610341561,0.0,0.7811403039101308,0.7142330896952833,0.0,0.8435291742378357,0.7832431994475273,0.0,0.8105594956658786,0.7332832115572447,0.0,0.062388870327704904,Brown (V),Tan (IV),0.02564102564102564,3.3697936411010687,0.4979505413596058,False,0.12225002389531303,0.18256967162660975,False
segformer_b0_direct,test,REFERENCE,True,185,28,/scratch/tbommawa/BRUISE_UNIFIED/results/analysis_native/per_image_segformer_b0_direct.csv,185,0.7663177797978681,0.8129374249389159,0.1791377011699955,0.7269959042001162,0.8598762092582234,1,0.005405405405405406,1,0,74,0.7559632986493439,0.8105843348621544,0.17289072188346966,0.7502739859850616,0.8096652340771995,1,0.013513513513513514,1,0,19,0.6971094580647401,0.8274080014256437,0.17536868783848525,0.7781378351225472,0.7239958717870071,1,0.05263157894736842,1,0,111,0.7732207672302178,0.8129374249389159,0.17875075920136663,0.7114771830101527,0.8933501927122394,0,0.0,0,0,0.7332401432083934,0.7980096479499407,0.0,0.017543859649122806,0.8270555810748736,0.740572482527658,0.02564102564102564,0.8341916668818701,0.7622619839207209,0.0,0.8102873074133667,0.6840069310186231,0.0,0.8133547868061143,0.7419209342227243,0.0,0.7698553291998819,0.703892484228172,0.0,0.06433633768198821,Intermediate (III-IV),Dark (VI),0.02564102564102564,2.1436843760947113,0.7093515539063546,False,0.07825505290209778,0.14247513941024648,False
