model,bin,median_gt_px,s_n,s_mean_dice,s_median_dice,s_iqr_dice,s_mean_recall,s_mean_precision,s_zero_dice_n,s_zero_dice_rate,s_empty_pred_n,s_wrong_place_n
biomedclip_g28,D1,4317.5,14,0.4913799670871165,0.5044421696447967,0.19784224159218516,0.7197887963872279,0.48449525890629247,1,0.07142857142857142,0,1
biomedclip_g28,D2,5916.0,13,0.5734346195106451,0.5747579569830135,0.16024505250706256,0.7237699454345368,0.5176100671498104,0,0.0,0,0
biomedclip_g28,D3,6914.0,13,0.6488037172738237,0.6216944416724878,0.18884189071205693,0.8201364761061612,0.5649833475857249,0,0.0,0,0
biomedclip_g28,D4,7402.0,14,0.48318363686721705,0.5336853958801843,0.22741156260212564,0.619387523492957,0.45564343826022585,0,0.0,0,0
biomedclip_g28,D5,8686.0,13,0.5298058073447827,0.5660470183083248,0.2774401322937886,0.7094010689253594,0.46687456329691934,1,0.07692307692307693,0,1
biomedclip_g28,D6,10388.0,13,0.5972478412194238,0.6054720860351099,0.216808194700646,0.7742288916462409,0.523663096803819,0,0.0,0,0
biomedclip_g28,D7,12305.5,14,0.6526459310876612,0.6664734274244619,0.1695673859865373,0.7851163469012291,0.5794066811771409,0,0.0,0,0
biomedclip_g28,D8,15677.0,13,0.6958570960295332,0.7137417140708007,0.10182255898479842,0.8399001003112262,0.6179592867390981,0,0.0,0,0
biomedclip_g28,D9,22504.0,13,0.7631895197686002,0.7825388681938837,0.11887121109733179,0.7990156392758745,0.7556628443856821,0,0.0,0,0
biomedclip_g28,D10,38879.0,14,0.7876842299673193,0.8144417018234702,0.11470483577498891,0.7027618636101896,0.9168350174514607,0,0.0,0,0
deeplabv3plus_r50,D1,4071.0,19,0.6923365797552394,0.7982905982905983,0.1477005986031572,0.7023106160547826,0.8202350142284943,3,0.15789473684210525,2,1
deeplabv3plus_r50,D2,5445.5,18,0.8149317774443623,0.8446750706629977,0.13040652609910008,0.75988297599965,0.9292422772369962,0,0.0,0,0
deeplabv3plus_r50,D3,6686.0,19,0.6757651164862872,0.8059419055729019,0.22756964722862294,0.6193570606150544,0.8864681743250785,1,0.05263157894736842,1,0
deeplabv3plus_r50,D4,8665.5,18,0.7455371179153203,0.8356302267393132,0.14949266258968452,0.6792913278214092,0.9074076938567003,1,0.05555555555555555,1,0
deeplabv3plus_r50,D5,10622.0,19,0.7367201653422105,0.7812343703110933,0.1320749227668998,0.6688460441767891,0.9065096433119141,0,0.0,0,0
deeplabv3plus_r50,D6,11957.5,18,0.8249345201806972,0.8298145330668611,0.06774287345819663,0.7569872601304962,0.9351120924800926,0,0.0,0,0
