path,model,status,split,cohort,n_rows,alias_of,reason
/scratch/tbommawa/BRUISE_UNIFIED/results/distill/reference_b0_distilled_test_per_image.csv,b0_distilled,alias,test,,185,segformer_b0_distilled,identical Dice vector to segformer_b0_distilled
/scratch/tbommawa/BRUISE_UNIFIED/results/distill/reference_b2_teacher_test_per_image.csv,b2_teacher,alias,test,,185,segformer_b2_teacher,identical Dice vector to segformer_b2_teacher
/scratch/tbommawa/BRUISE_UNIFIED/results/distill/reference_b2_to_b0_test_per_image.csv,b2_to_b0,alias,test,,185,segformer_b0_distilled,identical Dice vector to segformer_b0_distilled
/scratch/tbommawa/bruise_work/outputs/per_image_distill_segformer_b0_distilled.csv,distill_segformer_b0_distilled,alias,test,,185,segformer_b0_distilled,identical Dice vector to segformer_b0_distilled
/scratch/tbommawa/bruise_work/outputs/per_image_distill_segformer_b2_teacher.csv,distill_segformer_b2_teacher,alias,test,,185,segformer_b2_teacher,identical Dice vector to segformer_b2_teacher
/scratch/tbommawa/BRUISE_UNIFIED/results/final/best_seed_val_selected/segformer_b0_direct_best_seed0_test_per_image.csv,segformer_b0_direct,alias,test,,185,segformer_b0_direct,identical Dice vector to segformer_b0_direct
/scratch/tbommawa/bruise_work/outputs/per_image_segformer_b0_direct.csv,segformer_b0_direct,alias,test,,185,segformer_b0_direct,identical Dice vector to segformer_b0_direct
/scratch/tbommawa/BRUISE_UNIFIED/results/final/best_seed_val_selected/segformer_b0_distilled_best_seed0_test_per_image.csv,segformer_b0_distilled,alias,test,,185,segformer_b0_distilled,identical Dice vector to segformer_b0_distilled
/scratch/tbommawa/bruise_work/outputs/per_image_segformer_b0_distilled.csv,segformer_b0_distilled,alias,test,,185,segformer_b0_distilled,identical Dice vector to segformer_b0_distilled
/scratch/tbommawa/BRUISE_UNIFIED/results/final/best_seed_val_selected/segformer_b2_teacher_best_seed0_test_per_image.csv,segformer_b2_teacher,alias,test,,185,segformer_b2_teacher,identical Dice vector to segformer_b2_teacher
/scratch/tbommawa/bruise_work/outputs/per_image_segformer_b2_teacher.csv,segformer_b2_teacher,alias,test,,185,segformer_b2_teacher,identical Dice vector to segformer_b2_teacher
/scratch/tbommawa/BRUISE_UNIFIED/results/final/best_seed_val_selected/yolo_sem_direct_best_seed2_test_per_image.csv,yolo_sem_direct,alias,test,,185,yolo_sem_direct,identical Dice vector to yolo_sem_direct
/scratch/tbommawa/bruise_work/outputs/per_image_yolo_sem_direct.csv,yolo_sem_direct,alias,test,,185,yolo_sem_direct,identical Dice vector to yolo_sem_direct
/scratch/tbommawa/BRUISE_UNIFIED/results/final/best_seed_val_selected/yolo_sem_distilled_best_seed0_test_per_image.csv,yolo_sem_distilled,alias,test,,185,yolo_sem_distilled,identical Dice vector to yolo_sem_distilled
/scratch/tbommawa/bruise_work/outputs/per_image_yolo_sem_distilled.csv,yolo_sem_distilled,alias,test,,185,yolo_sem_distilled,identical Dice vector to yolo_sem_distilled
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__biomedclip_g28.csv,biomedclip_g28,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/bruise_work/outputs/per_image_deeplabv3plus_r50.csv,deeplabv3plus_r50,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N3_RESULTS/tables/test_per_image__dermlip_ft__seed0.csv,dermlip_ft__seed0,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N3_RESULTS/tables/val_per_image__dermlip_ft__seed0.csv,dermlip_ft__seed0#c827,ok,val,val:c827901ce6,134,,name collision; renamed to dermlip_ft__seed0#c827
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__dermlip_g28.csv,dermlip_g28,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N3_RESULTS/tables/test_per_image__dinov2_ft__seed0.csv,dinov2_ft__seed0,ok,test,REFERENCE,185,,
/scratch/tbommawa/BRUISE_UNIFIED/STAGE_N3_RESULTS/tables/val_per_image__dinov2_ft__seed0.csv,dinov2_ft__seed0#c827,ok,val,val:c827901ce6,134,,name collision; renamed to dinov2_ft__seed0#c827
/scratch/tbommawa/BRUISE_UNIFIED/DERM_PROBE_RESULTS/val_per_image__dinov2_g28.csv,dinov2_g28,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/BRUISE_UNIFIED/FOUNDATION_RESULTS/val_per_image__dinov2_probe.csv,dinov2_probe,ok,val,val:c827901ce6,134,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_expA_b5_to_b0_response.csv,distill_expA_b5_to_b0_response,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_p2_bpkd_b5_to_b0.csv,distill_p2_bpkd_b5_to_b0,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_p2_cwd_b5_to_b0.csv,distill_p2_cwd_b5_to_b0,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_p2_ensemble_uniform.csv,distill_p2_ensemble_uniform,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_p3_adaptive.csv,distill_p3_adaptive,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_p3_adaptive_boundary.csv,distill_p3_adaptive_boundary,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_p3_adaptive_full.csv,distill_p3_adaptive_full,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_p3_adaptive_group.csv,distill_p3_adaptive_group,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_p3_adaptive_hard.csv,distill_p3_adaptive_hard,ok,test,REFERENCE,185,,
/scratch/tbommawa/bruise_work/outputs/per_image_distill_segformer_b5__seed2026.csv,distill_segformer_b5__seed2026,ok,test,REFERENCE,185,,
