model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
segformer_b0_direct,all,Light (II-III),mean_recall,39,9,0.740572482527658,8085.0,0.6087782035135046,0.8293244798653808
segformer_b0_direct,all,Intermediate (III-IV),mean_recall,38,17,0.7622619839207209,12117.5,0.6891663133149417,0.8393187703160269
segformer_b0_direct,all,Tan (IV),mean_recall,24,15,0.6840069310186231,13550.0,0.6013669702457537,0.7655132369227478
segformer_b0_direct,all,Brown (V),mean_recall,29,12,0.7419209342227243,10961.0,0.6800761651953215,0.7941990968241016
segformer_b0_direct,all,Dark (VI),mean_recall,55,15,0.703892484228172,13751.0,0.6177520357316912,0.7886917098563571
segformer_b0_direct,D1_D4,Light (II-III),mean_recall,23,7,0.7275401444875417,5185.0,0.5171796038780098,0.8491023589674691
segformer_b0_direct,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8422287635971972,6059.0,0.7236874742542415,0.92179711525904
segformer_b0_direct,D1_D4,Tan (IV),mean_recall,8,4,0.717446624845565,5837.5,,
segformer_b0_direct,D1_D4,Brown (V),mean_recall,12,3,0.6997536241869508,5963.0,,
segformer_b0_direct,D1_D4,Dark (VI),mean_recall,18,8,0.7611811791060893,7516.5,0.7088956119513462,0.8280654294381988
segformer_b0_direct,D5_D10,Light (II-III),mean_recall,16,6,0.7593064684603252,11510.5,0.7191572253226602,0.8208462157344418
segformer_b0_direct,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7206792584889531,14122.0,0.622111600763996,0.8115226994906571
segformer_b0_direct,D5_D10,Tan (IV),mean_recall,16,13,0.6672870841051521,16700.0,0.5473767206778037,0.7945579408527319
segformer_b0_direct,D5_D10,Brown (V),mean_recall,17,10,0.7716860942479767,14259.0,0.6805016115525153,0.8217909843724968
segformer_b0_direct,D5_D10,Dark (VI),mean_recall,37,12,0.6760223083416178,16533.0,0.5560337577656487,0.7857512997327732
segformer_b0_distilled,all,Light (II-III),mean_recall,39,9,0.7100686435471025,8085.0,0.5964654708958652,0.7897423082831977
segformer_b0_distilled,all,Intermediate (III-IV),mean_recall,38,17,0.7565300317513146,12117.5,0.6938959078404198,0.8272769050270248
segformer_b0_distilled,all,Tan (IV),mean_recall,24,15,0.6810543359256588,13550.0,0.6079566747337058,0.7537861970401635
segformer_b0_distilled,all,Brown (V),mean_recall,29,12,0.7468629449759419,10961.0,0.6889983455211086,0.7983084017182482
segformer_b0_distilled,all,Dark (VI),mean_recall,55,15,0.7151297303180981,13751.0,0.6272412487361451,0.7981426358641087
segformer_b0_distilled,D1_D4,Light (II-III),mean_recall,23,7,0.7063772315612458,5185.0,0.5308367639499346,0.8060529427275464
segformer_b0_distilled,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8510183571794576,6059.0,0.7620311503002947,0.911584707313668
segformer_b0_distilled,D1_D4,Tan (IV),mean_recall,8,4,0.6842037605252358,5837.5,,
segformer_b0_distilled,D1_D4,Brown (V),mean_recall,12,3,0.6975454870456907,5963.0,,
segformer_b0_distilled,D1_D4,Dark (VI),mean_recall,18,8,0.7685223072038365,7516.5,0.6996177161490588,0.8253322360979032
segformer_b0_distilled,D5_D10,Light (II-III),mean_recall,16,6,0.7153750482767719,11510.5,0.6554139370538913,0.7979218470346777
segformer_b0_distilled,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7073961025286803,14122.0,0.6224216425473732,0.7891378024992681
segformer_b0_distilled,D5_D10,Tan (IV),mean_recall,16,13,0.6794796236258701,16700.0,0.5579395862938036,0.7916128621642468
segformer_b0_distilled,D5_D10,Brown (V),mean_recall,17,10,0.7816752682208251,14259.0,0.6910133203595766,0.8336853102434357
segformer_b0_distilled,D5_D10,Dark (VI),mean_recall,37,12,0.6891549631844957,16533.0,0.5716353370101396,0.8000593033218817
