model,all_n,all_median_dice,all_mean_dice,all_mean_recall,all_mean_precision,all_zero_dice_n,all_zero_dice_rate,all_empty_pred_n,D1_D4_n,D1_D4_median_dice,D1_D4_mean_dice,D1_D4_mean_recall,D1_D4_mean_precision,D1_D4_zero_dice_n,D1_D4_zero_dice_rate,D1_D4_empty_pred_n,D1_n,D1_median_dice,D1_mean_dice,D1_mean_recall,D1_mean_precision,D1_zero_dice_n,D1_zero_dice_rate,D1_empty_pred_n,all_wrong_place_n,D1_D4_wrong_place_n
segformer_b5_teacher,185,0.8273092369477911,0.7726825624487283,0.7163299380046717,0.8833983601470862,0,0.0,0,74,0.8459833898305459,0.8022810455223324,0.7855708378662855,0.8463426680840886,0,0.0,0,19,0.7664185639229422,0.7781364443367854,0.8281475065060505,0.7636457555331474,0,0.0,0,0,0
segformer_b2_teacher,185,0.8191682870225178,0.769239935340936,0.7281349717945771,0.8592070384163075,0,0.0,0,74,0.817286806180029,0.7502887737889085,0.7345542058350757,0.8104613888329742,0,0.0,0,19,0.8226030569708198,0.7227743398335867,0.8222978403775619,0.7156106406092464,0,0.0,0,0,0
segformer_b0_distilled,185,0.8166814266162145,0.7680109559522049,0.723120448318381,0.8624599929086207,0,0.0,0,74,0.8157084009131432,0.7619275830991981,0.7430742219954167,0.8195051794724781,0,0.0,0,19,0.829388329036794,0.7186475420244666,0.7831719675795877,0.7135380038739069,0,0.0,0,0,0
segformer_b0_direct,185,0.8129374249389159,0.7663177797978681,0.7269959042001162,0.8598762092582234,1,0.005405405405405406,1,74,0.8105843348621544,0.7559632986493439,0.7502739859850616,0.8096652340771995,1,0.013513513513513514,1,19,0.8274080014256437,0.6971094580647401,0.7781378351225472,0.7239958717870071,1,0.05263157894736842,1,0,0
lraspp_mobilenetv3_b2kd,185,0.7774036286877418,0.7213002189935579,0.7040281858335901,0.8300848649365226,1,0.005405405405405406,1,74,0.7315620888033431,0.6632686260767461,0.6703561394678257,0.7942228805403219,1,0.013513513513513514,1,19,0.7477854330708661,0.7143166354846379,0.8442117525178299,0.7040464330236188,0,0.0,0,0,0
topformer_tiny,185,0.7418196822776976,0.6918486980898523,0.7063707335389408,0.7421204038097566,1,0.005405405405405406,0,74,0.7121152542003796,0.6562890555704873,0.7263820384424049,0.6663500620011489,1,0.013513513513513514,0,19,0.701264334019406,0.5917447343978548,0.7395054033478082,0.5445753807825182,1,0.05263157894736842,0,1,1
topformer_tiny_b2kd,185,0.7455576559546314,0.6971385420382296,0.7024391953446288,0.7525787047299114,1,0.005405405405405406,0,74,0.7214105740098649,0.6678715694403642,0.7310258283916253,0.6661600252311137,1,0.013513513513513514,0,19,0.6773396580689791,0.617027860724685,0.7686669966113499,0.5441933235064255,1,0.05263157894736842,0,1,1
segformer_b0_rgkd,185,0.8157619754715943,0.7655657400501422,0.7250234683343149,0.8513945822399233,2,0.010810810810810811,1,74,0.81716796763155,0.7451626181557971,0.7188927034278839,0.8124728688877781,2,0.02702702702702703,1,19,0.8143867924528302,0.6624999634791596,0.6730771126282079,0.7383962358780707,2,0.10526315789473684,1,1,1
lraspp_mobilenetv3,185,0.7607057069493912,0.6981515283591777,0.6548377860194143,0.83220229083218,2,0.010810810810810811,2,74,0.7256330077565527,0.6416244186897527,0.6157936043991465,0.803043664497124,2,0.02702702702702703,2,19,0.8064379500211775,0.7079679723347321,0.7492217319192914,0.7276958397157821,0,0.0,0,0,0
lraspp_mobilenetv3_distilled,185,0.7835990888382688,0.7199779803092178,0.6832856722326234,0.8397819265490268,3,0.016216216216216217,2,74,0.7097281648323914,0.6597222051902694,0.6311778082370507,0.8037886270728015,3,0.04054054054054054,2,19,0.8006185367739441,0.6924219392802203,0.6699460149498876,0.7720562882416395,1,0.05263157894736842,0,1,1
ppmobileseg_tiny,185,0.7157607916248386,0.6568183615652969,0.6583251459890032,0.7604912269136084,4,0.021621621621621623,3,74,0.7113876669843611,0.620985144848604,0.6620111655757956,0.7035931706226652,4,0.05405405405405406,3,19,0.7279475982532752,0.6162356977587188,0.6948004288083289,0.6801669152169763,0,0.0,0,1,1
ppmobileseg_tiny_b2kd,185,0.7077697090512127,0.6758656100497099,0.631831829925504,0.8172291867691899,4,0.021621621621621623,3,74,0.6841729393886401,0.6286121704358039,0.6090478430905217,0.7805591206941268,4,0.05405405405405406,3,19,0.7075586711368486,0.6827744001225823,0.7214109375304089,0.7719287963274335,0,0.0,0,1,1
yolo_sem_distilled,185,0.8011545122185877,0.7260703223271405,0.6777021235548835,0.8646861382519789,5,0.02702702702702703,4,74,0.8079927059878655,0.7222980368387497,0.7162617107162417,0.7940347451080022,4,0.05405405405405406,3,19,0.7843463780183181,0.6324490893208423,0.6370705003270306,0.7488404633879407,3,0.15789473684210525,2,1,1
deeplabv3plus_r50,185,0.8183441196161572,0.7583768558852945,0.7093539701147743,0.8863344814183834,5,0.02702702702702703,4,74,0.8277372480551926,0.7308428695278824,0.6894165314257563,0.8849602711108705,5,0.06756756756756757,4,19,0.7982905982905983,0.6923365797552394,0.7023106160547826,0.8202350142284943,3,0.15789473684210525,2,1,1
