model,endpoint,n_images,n_subjects,point,lo,hi,n_boot
segformer_b5_teacher,zero_dice_rate,74,18,0.0,0.0,0.0,10000
segformer_b5_teacher,mean_recall,74,18,0.7855708378662855,0.7399346111456269,0.8237257898973578,10000
segformer_b5_teacher,median_dice,74,18,0.8459833898305459,0.759118244454952,0.8719918653259519,10000
segformer_b2_teacher,zero_dice_rate,74,18,0.0,0.0,0.0,10000
segformer_b2_teacher,mean_recall,74,18,0.7345542058350757,0.6880746706192601,0.7778372055044228,10000
segformer_b2_teacher,median_dice,74,18,0.817286806180029,0.7401412558919427,0.8417576835153671,10000
segformer_b0_distilled,zero_dice_rate,74,18,0.0,0.0,0.0,10000
segformer_b0_distilled,mean_recall,74,18,0.7430742219954167,0.6892654524103667,0.785071257066083,10000
segformer_b0_distilled,median_dice,74,18,0.8157084009131432,0.7796435207123265,0.8374922408441962,10000
segformer_b0_direct,zero_dice_rate,74,18,0.013513513513513514,0.0,0.047072829131652456,10000
segformer_b0_direct,mean_recall,74,18,0.7502739859850616,0.6849004702463422,0.8037570442532057,10000
segformer_b0_direct,median_dice,74,18,0.8105843348621544,0.7484201998852287,0.8413332246760655,10000
segformer_b0_rgkd,zero_dice_rate,74,18,0.02702702702702703,0.0,0.08,10000
segformer_b0_rgkd,mean_recall,74,18,0.7188927034278839,0.6406617018155932,0.7751968710090015,10000
segformer_b0_rgkd,median_dice,74,18,0.81716796763155,0.782983970406905,0.8443270066757483,10000
unet_r50,zero_dice_rate,74,18,0.08108108108108109,0.014084507042253521,0.18840579710144928,10000
unet_r50,mean_recall,74,18,0.718743121393039,0.5794691532660242,0.8121385080058434,10000
unet_r50,median_dice,74,18,0.8358802069489881,0.7490189666448659,0.8874129791149876,10000
deeplabv3plus_r50,zero_dice_rate,74,18,0.06756756756756757,0.0,0.175,10000
deeplabv3plus_r50,mean_recall,74,18,0.6894165314257563,0.5855780932479457,0.7542363211430017,10000
deeplabv3plus_r50,median_dice,74,18,0.8277372480551926,0.7344298946023634,0.853764976826404,10000
yolo_sem_direct,zero_dice_rate,74,18,0.13513513513513514,0.03508771929824561,0.3023431994362224,10000
yolo_sem_direct,mean_recall,74,18,0.6225093172751022,0.4686476433328236,0.7301447737847033,10000
yolo_sem_direct,median_dice,74,18,0.7786552334231376,0.649848902903692,0.8487831555920153,10000
yolo_sem_distilled,zero_dice_rate,74,18,0.05405405405405406,0.0,0.14285714285714285,10000
yolo_sem_distilled,mean_recall,74,18,0.7162617107162417,0.5992071599646445,0.7944028073796944,10000
yolo_sem_distilled,median_dice,74,18,0.8079927059878655,0.7055268922740003,0.8403935784567581,10000
lraspp_mobilenetv3,zero_dice_rate,74,18,0.02702702702702703,0.0,0.057692307692307696,10000
lraspp_mobilenetv3,mean_recall,74,18,0.6157936043991465,0.5033552171520882,0.7361016723691548,10000
lraspp_mobilenetv3,median_dice,74,18,0.7256330077565527,0.5885099013628492,0.821985948608577,10000
lraspp_mobilenetv3_b2kd,zero_dice_rate,74,18,0.013513513513513514,0.0,0.047072829131652456,10000
lraspp_mobilenetv3_b2kd,mean_recall,74,18,0.6703561394678257,0.5628639774764901,0.783950338541495,10000
lraspp_mobilenetv3_b2kd,median_dice,74,18,0.7315620888033431,0.6664739853162345,0.8227248005394825,10000
lraspp_mobilenetv3_distilled,zero_dice_rate,74,18,0.04054054054054054,0.0,0.1111111111111111,10000
lraspp_mobilenetv3_distilled,mean_recall,74,18,0.6311778082370507,0.5207651753815102,0.7575358317766764,10000
lraspp_mobilenetv3_distilled,median_dice,74,18,0.7097281648323914,0.6080545571836697,0.8283311345646438,10000
topformer_tiny,zero_dice_rate,74,18,0.013513513513513514,0.0,0.05405405405405406,10000
topformer_tiny,mean_recall,74,18,0.7263820384424049,0.6508900041377979,0.7755498769817772,10000
topformer_tiny,median_dice,74,18,0.7121152542003796,0.6261007827788649,0.7663071391884951,10000
topformer_tiny_b2kd,zero_dice_rate,74,18,0.013513513513513514,0.0,0.05405405405405406,10000
topformer_tiny_b2kd,mean_recall,74,18,0.7310258283916253,0.6805146815763875,0.7706673305088566,10000
topformer_tiny_b2kd,median_dice,74,18,0.7214105740098649,0.6299875445604088,0.766316486061709,10000
ppmobileseg_tiny,zero_dice_rate,74,18,0.05405405405405406,0.0,0.11320754716981132,10000
ppmobileseg_tiny,mean_recall,74,18,0.6620111655757956,0.6044565567147242,0.7224469611714286,10000
ppmobileseg_tiny,median_dice,74,18,0.7113876669843611,0.5909717351181825,0.7279475982532752,10000
ppmobileseg_tiny_b2kd,zero_dice_rate,74,18,0.05405405405405406,0.0,0.11320754716981132,10000
ppmobileseg_tiny_b2kd,mean_recall,74,18,0.6090478430905217,0.5354107996201587,0.7048196455453449,10000
ppmobileseg_tiny_b2kd,median_dice,74,18,0.6841729393886401,0.6444444444444445,0.7597082594125764,10000
fastscnn,zero_dice_rate,74,18,0.16216216216216217,0.06593406593406594,0.29310344827586204,10000
fastscnn,mean_recall,74,18,0.4983652231952591,0.3554473191763765,0.6186851990942465,10000
fastscnn,median_dice,74,18,0.5613522649342859,0.3140292634944055,0.7093793417961032,10000
fastscnn_b2kd,zero_dice_rate,74,18,0.06756756756756757,0.020618556701030927,0.1346153846153846,10000
fastscnn_b2kd,mean_recall,74,18,0.6336565090010824,0.524749211432245,0.7069616131079074,10000
fastscnn_b2kd,median_dice,74,18,0.7022203047081808,0.5659718178642134,0.765552534783304,10000
