model,scheme,bin,n,median_gt_px,median_dice,mean_dice,mean_recall,mean_precision,zero_dice_n,zero_dice_rate,empty_pred_n
deeplabv3plus_r50,quintile,Q1,37,4884.0,0.827645788336933,0.7519774867391373,0.7303187911630965,0.8732655746110087,3,0.08108108108108109,2
deeplabv3plus_r50,quintile,Q2,37,7671.0,0.8278287077734522,0.7097082523166277,0.6485142716884161,0.8966549676107323,2,0.05405405405405406,2
deeplabv3plus_r50,quintile,Q3,37,11324.0,0.8183441196161572,0.7796352568852581,0.7117255546407546,0.9204243483126496,0,0.0,0
deeplabv3plus_r50,quintile,Q4,37,14382.0,0.8308016364888403,0.7906169070778076,0.7458373305366278,0.8806875031441216,0,0.0,0
deeplabv3plus_r50,quintile,Q5,37,21744.0,0.804676036130042,0.7599463764076422,0.7103739025449757,0.8606400134134055,0,0.0,0
deeplabv3plus_r50,absolute,10-20k,81,13751.0,0.8237714285714286,0.7912990032535268,0.7398630398009907,0.8977880564770316,0,0.0,0
deeplabv3plus_r50,absolute,2-5k,17,4132.0,0.827645788336933,0.7737879420793854,0.7849353944141689,0.8579097217847877,1,0.058823529411764705,1
deeplabv3plus_r50,absolute,5-10k,58,6750.0,0.8289582318641603,0.7430677069164379,0.6823529043029593,0.9040757987080267,2,0.034482758620689655,2
deeplabv3plus_r50,absolute,<2k,2,986.0,0.0,0.0,0.0,0.5,2,1.0,1
deeplabv3plus_r50,absolute,>20k,27,23968.0,0.7644344088577257,0.7389695206941063,0.6807854849163137,0.8603772182353505,0,0.0,0
deeplabv3plus_r50,decile,D1,19,4071.0,0.7982905982905983,0.6923365797552394,0.7023106160547826,0.8202350142284943,3,0.15789473684210525,2
deeplabv3plus_r50,decile,D10,19,31415.0,0.6675275003677612,0.7245767015559763,0.6505833683818077,0.8602620389879783,0,0.0,0
deeplabv3plus_r50,decile,D2,18,5445.5,0.8446750706629977,0.8149317774443623,0.75988297599965,0.9292422772369962,0,0.0,0
deeplabv3plus_r50,decile,D3,19,6686.0,0.8059419055729019,0.6757651164862872,0.6193570606150544,0.8864681743250785,1,0.05263157894736842,1
deeplabv3plus_r50,decile,D4,18,8665.5,0.8356302267393132,0.7455371179153203,0.6792913278214092,0.9074076938567003,1,0.05555555555555555,1
deeplabv3plus_r50,decile,D5,19,10622.0,0.7812343703110933,0.7367201653422105,0.6688460441767891,0.9065096433119141,0,0.0,0
deeplabv3plus_r50,decile,D6,18,11957.5,0.8298145330668611,0.8249345201806972,0.7569872601304962,0.9351120924800926,0,0.0,0
deeplabv3plus_r50,decile,D7,18,13841.0,0.7737005345622233,0.7712928601807655,0.7135360505723854,0.8738856335869157,0,0.0,0
deeplabv3plus_r50,decile,D8,19,15506.0,0.8798278400724884,0.8089238988750052,0.7764385431343311,0.8871313795667377,0,0.0,0
deeplabv3plus_r50,decile,D9,18,19152.0,0.8280443841296582,0.7972810331955116,0.7734861330505417,0.861038986418023,0,0.0,0
distill_expA_b5_to_b0_response,quintile,Q1,37,4884.0,0.7953098827470687,0.7511683051974272,0.7348772243694465,0.8101400719524101,1,0.02702702702702703,0
distill_expA_b5_to_b0_response,quintile,Q2,37,7671.0,0.8106197741574003,0.76299560982912,0.7226528956624855,0.8256360959447397,0,0.0,0
distill_expA_b5_to_b0_response,quintile,Q3,37,11324.0,0.8083076617310941,0.773105549669485,0.7131130080971257,0.8960774918617873,0,0.0,0
distill_expA_b5_to_b0_response,quintile,Q4,37,14382.0,0.8131940991214984,0.7824667045105206,0.710548860267527,0.9063429201982047,0,0.0,0
distill_expA_b5_to_b0_response,quintile,Q5,37,21744.0,0.7944611277944611,0.7717938783873027,0.6826660515794106,0.9185032289630705,0,0.0,0
distill_expA_b5_to_b0_response,absolute,10-20k,81,13751.0,0.8131255930698827,0.7795501479309623,0.7124500859236508,0.901191982858991,0,0.0,0
distill_expA_b5_to_b0_response,absolute,2-5k,17,4132.0,0.8023668639053254,0.7631248443918213,0.754785497921253,0.8018856380084802,0,0.0,0
distill_expA_b5_to_b0_response,absolute,5-10k,58,6750.0,0.809453330132649,0.7782096289853101,0.7453734436615594,0.8398384235128172,0,0.0,0
distill_expA_b5_to_b0_response,absolute,<2k,2,986.0,0.24686716791979946,0.24686716791979946,0.17130434782608694,0.44170403587443946,1,0.5,0
distill_expA_b5_to_b0_response,absolute,>20k,27,23968.0,0.7489948305571511,0.7551864669228213,0.6573580972819331,0.9250092532160425,0,0.0,0
distill_expA_b5_to_b0_response,decile,D1,19,4071.0,0.7879475542107918,0.7087819310789769,0.6933664294901829,0.7639717851522653,1,0.05263157894736842,0
distill_expA_b5_to_b0_response,decile,D10,19,31415.0,0.6984597584785596,0.7217110413660066,0.616951752322304,0.9132401126957368,0,0.0,0
distill_expA_b5_to_b0_response,decile,D2,18,5445.5,0.7991866700387422,0.7959094778780135,0.77869417451978,0.8588732635747852,0,0.0,0
distill_expA_b5_to_b0_response,decile,D3,19,6686.0,0.7714538484222944,0.7291975401111827,0.6893763135662079,0.7876781094014418,0,0.0,0
distill_expA_b5_to_b0_response,decile,D4,18,8665.5,0.828003139891118,0.7986713500869427,0.7577781767641116,0.865702859518221,0,0.0,0
distill_expA_b5_to_b0_response,decile,D5,19,10622.0,0.8082868861078978,0.7595611480899093,0.7030757259882857,0.8940180882906744,0,0.0,0
distill_expA_b5_to_b0_response,decile,D6,18,11957.5,0.8211315784778999,0.7874024180034815,0.7237079169897904,0.898251306742406,0,0.0,0
distill_expA_b5_to_b0_response,decile,D7,18,13841.0,0.8048411700498235,0.7635643103740712,0.6783720749132791,0.9063925719361259,0,0.0,0
distill_expA_b5_to_b0_response,decile,D8,19,15506.0,0.860921181155609,0.8003742357976832,0.7410321306031303,0.906295881709648,0,0.0,0
distill_expA_b5_to_b0_response,decile,D9,18,19152.0,0.8441358502591987,0.8246590952431153,0.75203114523969,0.9240587405785889,0,0.0,0
distill_p2_bpkd_b5_to_b0,quintile,Q1,37,4884.0,0.7735290330887087,0.7401301356938014,0.7441517271599057,0.7858611733132,0,0.0,0
distill_p2_bpkd_b5_to_b0,quintile,Q2,37,7671.0,0.8147765138458003,0.756771607854736,0.7125812003476565,0.8632843795619249,1,0.02702702702702703,1
distill_p2_bpkd_b5_to_b0,quintile,Q3,37,11324.0,0.8330954504906334,0.7655866291380854,0.7362880603998123,0.8836912861823131,0,0.0,0
distill_p2_bpkd_b5_to_b0,quintile,Q4,37,14382.0,0.8332215327855107,0.7743553635867011,0.7406805056363305,0.8443093309444651,0,0.0,0
distill_p2_bpkd_b5_to_b0,quintile,Q5,37,21744.0,0.7994252873563218,0.7888151973888927,0.7338019058127347,0.8832931644274991,0,0.0,0
distill_p2_bpkd_b5_to_b0,absolute,10-20k,81,13751.0,0.8330954504906334,0.7704819430767429,0.7391112224200466,0.8604126595910392,0,0.0,0
distill_p2_bpkd_b5_to_b0,absolute,2-5k,17,4132.0,0.7735290330887087,0.7638637753358033,0.7591775779117316,0.81944018116859,0,0.0,0
distill_p2_bpkd_b5_to_b0,absolute,5-10k,58,6750.0,0.814866807313475,0.7635081251231702,0.7349406867420758,0.8466400841137396,1,0.017241379310344827,1
distill_p2_bpkd_b5_to_b0,absolute,<2k,2,986.0,0.34434305186818637,0.34434305186818637,0.5095662752565323,0.26226208998242206,0,0.0,0
distill_p2_bpkd_b5_to_b0,absolute,>20k,27,23968.0,0.7964977574196012,0.7845370968406277,0.7139965020041342,0.9030628817994796,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D1,19,4071.0,0.7716496744871637,0.7197036991813173,0.7329027039480264,0.7607898557805723,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D10,19,31415.0,0.7753305108958208,0.7558211800870688,0.6716932074047627,0.9010367848419109,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D2,18,5445.5,0.7847427117584325,0.7616913742347565,0.7560256961057783,0.8123253418198627,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D3,19,6686.0,0.8149571007811499,0.7161714370959299,0.6882877425159258,0.8278529055237408,1,0.05263157894736842,1
distill_p2_bpkd_b5_to_b0,decile,D4,18,8665.5,0.8072908977893964,0.799627343655698,0.7382242947255946,0.9006842688244527,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D5,19,10622.0,0.8121897116298722,0.7447075831212068,0.7360524130342315,0.853468125668796,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D6,18,11957.5,0.8519596977675392,0.7876256221559017,0.7365367992857036,0.9155935111688035,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D7,18,13841.0,0.7826701108144785,0.7329200141098985,0.7052465504021173,0.7962698439438578,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D8,19,15506.0,0.8571907850592708,0.8136099051963036,0.7742495158582167,0.8898204238924087,0,0.0,0
distill_p2_bpkd_b5_to_b0,decile,D9,18,19152.0,0.8447305002764602,0.8236422156519289,0.7993610874655945,0.864563787323398,0,0.0,0
distill_p2_cwd_b5_to_b0,quintile,Q1,37,4884.0,0.8370023419203747,0.7535767017753737,0.7718615708266766,0.7826335606065075,3,0.08108108108108109,1
distill_p2_cwd_b5_to_b0,quintile,Q2,37,7671.0,0.8247971083680011,0.7750957319026579,0.7343727665619401,0.834077909247733,0,0.0,0
distill_p2_cwd_b5_to_b0,quintile,Q3,37,11324.0,0.8338481794702993,0.8004682823447358,0.7449799167247045,0.8879313963855395,1,0.02702702702702703,0
distill_p2_cwd_b5_to_b0,quintile,Q4,37,14382.0,0.8166175438596491,0.7837024940710597,0.7337198945570134,0.8780732264302392,0,0.0,0
distill_p2_cwd_b5_to_b0,quintile,Q5,37,21744.0,0.7846583904005078,0.7552633130936864,0.6881644401360715,0.8762195281145316,0,0.0,0
distill_p2_cwd_b5_to_b0,absolute,10-20k,81,13751.0,0.8338481794702993,0.7864824724768078,0.7376397855308864,0.873013834762834,1,0.012345679012345678,0
distill_p2_cwd_b5_to_b0,absolute,2-5k,17,4132.0,0.8354842460179049,0.7301427793816692,0.7668885857524345,0.7668516963185336,2,0.11764705882352941,1
distill_p2_cwd_b5_to_b0,absolute,5-10k,58,6750.0,0.8275093888865486,0.7938741244265816,0.7660284479851353,0.8427465685310457,0,0.0,0
distill_p2_cwd_b5_to_b0,absolute,<2k,2,986.0,0.3091585309158531,0.3091585309158531,0.2891304347826087,0.3321678321678322,1,0.5,0
distill_p2_cwd_b5_to_b0,absolute,>20k,27,23968.0,0.7797864368677407,0.7533117614538796,0.6707706795311402,0.8994956250624982,0,0.0,0
distill_p2_cwd_b5_to_b0,decile,D1,19,4071.0,0.8289490568458874,0.6858286479642148,0.7165982540714001,0.721095500092144,3,0.15789473684210525,1
distill_p2_cwd_b5_to_b0,decile,D10,19,31415.0,0.7478132314894665,0.7233128920122399,0.6215325247874065,0.9040622461076374,0,0.0,0
distill_p2_cwd_b5_to_b0,decile,D2,18,5445.5,0.8669851319271848,0.8250885363538193,0.8301950718461352,0.8475904022605578,0,0.0,0
distill_p2_cwd_b5_to_b0,decile,D3,19,6686.0,0.8264689288304989,0.750478596811601,0.7152049799816969,0.8046565763172234,0,0.0,0
