model,mean_dice,median_dice,iqr_dice,zero_dice_n,zero_dice_rate,empty_pred_n,recall_all,recall_smallQ1,recall_smallD1,zero_dice_n_Q1,median_dice_Q1,median_dice_Q5,dice_drop_Q1_vs_Q5
distill_segformer_b0_distilled,0.7680109559522049,0.8166814266162145,0.1682586829160999,0,0.0,0,0.723120448318381,0.7836198080852006,0.7831719675795877,0,0.8374922408441962,0.8074832107451231,0.030009030099073075
distill_segformer_b5_teacher,0.7726825624487283,0.8273092369477911,0.19137358576994357,0,0.0,0,0.7163299380046717,0.8187847459271109,0.8281475065060505,0,0.8443048938934604,0.6691249468160545,0.17517994707740592
distill_segformer_b2_teacher,0.769239935340936,0.8191682870225178,0.15381152515919505,0,0.0,0,0.7281349717945771,0.776993103973189,0.8222978403775619,0,0.8226030569708198,0.7737528462016146,0.04885021076920526
segformer_b0_distilled,0.7680109559522049,0.8166814266162145,0.1682586829160999,0,0.0,0,0.723120448318381,0.7836198080852006,0.7831719675795877,0,0.8374922408441962,0.8074832107451231,0.030009030099073075
segformer_b2_teacher,0.769239935340936,0.8191682870225178,0.15381152515919505,0,0.0,0,0.7281349717945771,0.776993103973189,0.8222978403775619,0,0.8226030569708198,0.7737528462016146,0.04885021076920526
distill_p2_bpkd_b5_to_b0,0.7651317867324433,0.8091268100043879,0.16823786499709703,1,0.005405405405405406,1,0.7335006798712881,0.7441517271599057,0.7329027039480264,0,0.7735290330887087,0.7994252873563218,-0.025896254267613106
distill_p3_adaptive_hard,0.7414452622931029,0.8023223148234854,0.17915425215797354,1,0.005405405405405406,0,0.7057627033409413,0.7482806216146061,0.7075868879363053,1,0.8256331124625579,0.7388474528567408,0.08678565960581708
distill_expA_b5_to_b0_response,0.768306009518771,0.8060798228395993,0.18359555971347996,1,0.005405405405405406,0,0.712771607995199,0.7348772243694465,0.6933664294901829,1,0.7953098827470687,0.7944611277944611,0.000848754952607611
segformer_b0_direct,0.7663177797978681,0.8129374249389159,0.1791377011699955,1,0.005405405405405406,1,0.7269959042001162,0.7820529905313671,0.7781378351225472,1,0.8335265476466497,0.786421431808965,0.04710511583768473
lraspp_mobilenetv3_b2kd,0.7213002189935579,0.7774036286877418,0.18312483513198963,1,0.005405405405405406,1,0.7040281858335901,0.7585835212441544,0.8442117525178299,0,0.7477854330708661,0.7969272052826814,-0.04914177221181526
