model,skin_tone_category,n_images,n_subjects,median_dice,mean_recall,mean_precision,miss_rate
sam_ft,Light (II-III),39,9,0.7980184005661712,0.6998948573630763,0.8251142217947112,0.02564102564102564
sam_ft,Intermediate (III-IV),38,17,0.8626269014138803,0.759201230460419,0.9412299913526226,0.0
sam_ft,Tan (IV),24,15,0.7612971906959953,0.6093584877086672,0.8066932154802421,0.041666666666666664
sam_ft,Brown (V),29,12,0.8247583411287808,0.7403190729583714,0.9020421940581644,0.0
sam_ft,Dark (VI),55,15,0.7380032655011748,0.6492922556450382,0.8680445660453338,0.01818181818181818
medsam_ft,Light (II-III),39,9,0.7918395573997233,0.7315669966802569,0.8108395151328731,0.0
medsam_ft,Intermediate (III-IV),38,17,0.8430683858807679,0.7685002315936931,0.9361790508051161,0.0
medsam_ft,Tan (IV),24,15,0.8137204719612304,0.599165648851009,0.7830998835752471,0.041666666666666664
medsam_ft,Brown (V),29,12,0.869355696717464,0.7810074268567312,0.9114474886860658,0.0
medsam_ft,Dark (VI),55,15,0.7753634047654728,0.6805894777559347,0.893190887709886,0.0
dermlip_ft,Light (II-III),39,9,0.7975920036347115,0.6876832040604158,0.7647330538273501,0.0
dermlip_ft,Intermediate (III-IV),38,17,0.7639431447448235,0.7718543909833925,0.8209606965198295,0.0
dermlip_ft,Tan (IV),24,15,0.6765631594475578,0.6192607374168468,0.6904193223282129,0.0
dermlip_ft,Brown (V),29,12,0.7971147008026008,0.772574476546094,0.7656752788299851,0.0
dermlip_ft,Dark (VI),55,15,0.7183922665988298,0.6389647461134467,0.7209297402241067,0.0
dinov2_ft,Light (II-III),39,9,0.7663575812981586,0.7200163145012191,0.804611055079124,0.0
dinov2_ft,Intermediate (III-IV),38,17,0.8577099957936389,0.7917936420977536,0.9012033145828703,0.0
dinov2_ft,Tan (IV),24,15,0.8043699458534435,0.7465067319438458,0.807568535670089,0.0
dinov2_ft,Brown (V),29,12,0.8604572965702757,0.8160504086745488,0.8676066116388437,0.0
dinov2_ft,Dark (VI),55,15,0.8374698716695981,0.7816281702510018,0.846837168769917,0.0
