size_bin,n_images,median_gt_pixels,median_dice,mean_recall,mean_precision,miss_rate,model
Q1,37,4884.0,0.8635834479839136,0.7808016078774551,0.8299691348570992,0.02702702702702703,sam_ft
Q2,37,7671.0,0.8247583411287808,0.6671099215935671,0.810353100252183,0.02702702702702703,sam_ft
Q3,37,11324.0,0.8119586200069296,0.7385837162010758,0.9087638111545546,0.0,sam_ft
Q4,37,14382.0,0.7975231274246494,0.680177478273001,0.8699784933500085,0.02702702702702703,sam_ft
Q5,37,21744.0,0.6977711553982741,0.5914482781071653,0.9379221158753258,0.0,sam_ft
Q1,37,4884.0,0.8701934851824639,0.8430211249739041,0.8223435533824751,0.0,medsam_ft
Q2,37,7671.0,0.8220171910732592,0.7033168232512422,0.83092373009921,0.0,medsam_ft
Q3,37,11324.0,0.8284991240023359,0.737817236662858,0.89167895602142,0.0,medsam_ft
Q4,37,14382.0,0.7971647145265159,0.6709434337830317,0.8882037936286887,0.02702702702702703,medsam_ft
Q5,37,21744.0,0.7212017925897873,0.6177590542731849,0.9330504593688023,0.0,medsam_ft
Q1,37,4884.0,0.756293373248061,0.7596473288028424,0.6728143849728059,0.0,dermlip_ft
Q2,37,7671.0,0.7137490608564989,0.6565209469042608,0.6930922906713224,0.0,dermlip_ft
Q3,37,11324.0,0.7562516314278256,0.7209685839292307,0.782978437911516,0.0,dermlip_ft
Q4,37,14382.0,0.767292817679558,0.6779227970875139,0.7731484933926598,0.0,dermlip_ft
Q5,37,21744.0,0.774780580221933,0.6595373802979292,0.8468009363298773,0.0,dermlip_ft
Q1,37,4884.0,0.8240521887113548,0.7988016959721818,0.8277940276992372,0.0,dinov2_ft
Q2,37,7671.0,0.8305261588910419,0.7548094389429185,0.7891064692817441,0.0,dinov2_ft
Q3,37,11324.0,0.8470507249494471,0.8000098879582118,0.8690079231379515,0.0,dinov2_ft
Q4,37,14382.0,0.8572092560007968,0.7532711663740755,0.8802197141845978,0.0,dinov2_ft
Q5,37,21744.0,0.8001466992665036,0.7509447687872474,0.8701918110529274,0.0,dinov2_ft
