model,stratum,skin_tone_category,endpoint,n_images,n_subjects,point,median_gt_px,lo,hi
segformer_b5_teacher,all,Light (II-III),mean_recall,39,9,0.7616437477185999,8085.0,0.6847452705030961,0.8365386590962441
segformer_b5_teacher,all,Intermediate (III-IV),mean_recall,38,17,0.7867115376061017,12117.5,0.7188275466742033,0.8439372837899021
segformer_b5_teacher,all,Tan (IV),mean_recall,24,15,0.6790318224694717,13550.0,0.5627618857567868,0.7810712406509923
segformer_b5_teacher,all,Brown (V),mean_recall,29,12,0.7070616455914267,10961.0,0.6174918417706106,0.7494447094815742
segformer_b5_teacher,all,Dark (VI),mean_recall,55,15,0.6567334996252422,13751.0,0.5470091902785473,0.7408423266910306
segformer_b5_teacher,D1_D4,Light (II-III),mean_recall,23,7,0.7936834653094283,5185.0,0.7043531189924701,0.8526882000904411
segformer_b5_teacher,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8537881251097018,6059.0,0.7697774098361603,0.9207828071434635
segformer_b5_teacher,D1_D4,Tan (IV),mean_recall,8,4,0.803757341951814,5837.5,,
segformer_b5_teacher,D1_D4,Brown (V),mean_recall,12,3,0.7651177573593785,5963.0,,
segformer_b5_teacher,D1_D4,Dark (VI),mean_recall,18,8,0.7314891583130607,7516.5,0.5717907679744031,0.7941893336299038
segformer_b5_teacher,D5_D10,Light (II-III),mean_recall,16,6,0.7155866536817839,11510.5,0.6215143815145929,0.8419412703507912
segformer_b5_teacher,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7518317121042295,14122.0,0.6453730571827491,0.8218284487642941
segformer_b5_teacher,D5_D10,Tan (IV),mean_recall,16,13,0.6166690627283005,16700.0,0.46786749059630356,0.7692133276286272
segformer_b5_teacher,D5_D10,Brown (V),mean_recall,17,10,0.6660808608140486,14259.0,0.5524081347663454,0.7351401965901921
segformer_b5_teacher,D5_D10,Dark (VI),mean_recall,37,12,0.6203658818852221,16533.0,0.520208784476081,0.7369513581629578
segformer_b2_teacher,all,Light (II-III),mean_recall,39,9,0.7344223989295477,8085.0,0.6677972801254982,0.7957943350401776
segformer_b2_teacher,all,Intermediate (III-IV),mean_recall,38,17,0.7856056440033193,12117.5,0.7196813221904275,0.8379185756342636
segformer_b2_teacher,all,Tan (IV),mean_recall,24,15,0.6769354922488326,13550.0,0.584643182276561,0.7716751226311382
segformer_b2_teacher,all,Brown (V),mean_recall,29,12,0.7294975462688729,10961.0,0.6759124389232912,0.7835238387444502
segformer_b2_teacher,all,Dark (VI),mean_recall,55,15,0.7055927471972541,13751.0,0.5988296588750242,0.772215798609845
segformer_b2_teacher,D1_D4,Light (II-III),mean_recall,23,7,0.7333425633020798,5185.0,0.6200012687933268,0.8100436017181921
segformer_b2_teacher,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.7790774848754948,6059.0,0.6418650131939364,0.8669603782246791
segformer_b2_teacher,D1_D4,Tan (IV),mean_recall,8,4,0.707945150321435,5837.5,,
segformer_b2_teacher,D1_D4,Brown (V),mean_recall,12,3,0.6902803545808269,5963.0,,
segformer_b2_teacher,D1_D4,Dark (VI),mean_recall,18,8,0.7452888619402737,7516.5,0.6752728788048861,0.8095480197751737
segformer_b2_teacher,D5_D10,Light (II-III),mean_recall,16,6,0.7359746626440324,11510.5,0.6088638791451504,0.8000352961123651
segformer_b2_teacher,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7890002867497882,14122.0,0.7151761481526696,0.8410434295408935
segformer_b2_teacher,D5_D10,Tan (IV),mean_recall,16,13,0.6614306632125313,16700.0,0.5237269691739149,0.7942057547560051
segformer_b2_teacher,D5_D10,Brown (V),mean_recall,17,10,0.7571802698133762,14259.0,0.6645436700935228,0.8115970212667863
segformer_b2_teacher,D5_D10,Dark (VI),mean_recall,37,12,0.6862811238087579,16533.0,0.5486165157452066,0.7791482047740115
segformer_b0_distilled,all,Light (II-III),mean_recall,39,9,0.7100686435471025,8085.0,0.5964654708958652,0.7897423082831977
segformer_b0_distilled,all,Intermediate (III-IV),mean_recall,38,17,0.7565300317513146,12117.5,0.6938959078404198,0.8272769050270248
segformer_b0_distilled,all,Tan (IV),mean_recall,24,15,0.6810543359256588,13550.0,0.6079566747337058,0.7537861970401635
segformer_b0_distilled,all,Brown (V),mean_recall,29,12,0.7468629449759419,10961.0,0.6889983455211086,0.7983084017182482
segformer_b0_distilled,all,Dark (VI),mean_recall,55,15,0.7151297303180981,13751.0,0.6272412487361451,0.7981426358641087
segformer_b0_distilled,D1_D4,Light (II-III),mean_recall,23,7,0.7063772315612458,5185.0,0.5308367639499346,0.8060529427275464
segformer_b0_distilled,D1_D4,Intermediate (III-IV),mean_recall,13,10,0.8510183571794576,6059.0,0.7620311503002947,0.911584707313668
segformer_b0_distilled,D1_D4,Tan (IV),mean_recall,8,4,0.6842037605252358,5837.5,,
segformer_b0_distilled,D1_D4,Brown (V),mean_recall,12,3,0.6975454870456907,5963.0,,
segformer_b0_distilled,D1_D4,Dark (VI),mean_recall,18,8,0.7685223072038365,7516.5,0.6996177161490588,0.8253322360979032
segformer_b0_distilled,D5_D10,Light (II-III),mean_recall,16,6,0.7153750482767719,11510.5,0.6554139370538913,0.7979218470346777
segformer_b0_distilled,D5_D10,Intermediate (III-IV),mean_recall,25,11,0.7073961025286803,14122.0,0.6224216425473732,0.7891378024992681
segformer_b0_distilled,D5_D10,Tan (IV),mean_recall,16,13,0.6794796236258701,16700.0,0.5579395862938036,0.7916128621642468
segformer_b0_distilled,D5_D10,Brown (V),mean_recall,17,10,0.7816752682208251,14259.0,0.6910133203595766,0.8336853102434357
segformer_b0_distilled,D5_D10,Dark (VI),mean_recall,37,12,0.6891549631844957,16533.0,0.5716353370101396,0.8000593033218817
segformer_b0_direct,all,Light (II-III),mean_recall,39,9,0.740572482527658,8085.0,0.6087782035135046,0.8293244798653808
segformer_b0_direct,all,Intermediate (III-IV),mean_recall,38,17,0.7622619839207209,12117.5,0.6891663133149417,0.8393187703160269
segformer_b0_direct,all,Tan (IV),mean_recall,24,15,0.6840069310186231,13550.0,0.6013669702457537,0.7655132369227478
segformer_b0_direct,all,Brown (V),mean_recall,29,12,0.7419209342227243,10961.0,0.6800761651953215,0.7941990968241016
segformer_b0_direct,all,Dark (VI),mean_recall,55,15,0.703892484228172,13751.0,0.6177520357316912,0.7886917098563571
