model,all_n,all_median_dice,all_mean_dice,all_mean_recall,all_mean_precision,all_zero_dice_n,all_zero_dice_rate,all_empty_pred_n,D1_D4_n,D1_D4_median_dice,D1_D4_mean_dice,D1_D4_mean_recall,D1_D4_mean_precision,D1_D4_zero_dice_n,D1_D4_zero_dice_rate,D1_D4_empty_pred_n,D1_n,D1_median_dice,D1_mean_dice,D1_mean_recall,D1_mean_precision,D1_zero_dice_n,D1_zero_dice_rate,D1_empty_pred_n,all_wrong_place_n,D1_D4_wrong_place_n
segformer_b5_teacher,185,0.8273092369477911,0.7726825624487283,0.7163299380046717,0.8833983601470862,0,0.0,0,74,0.8459833898305459,0.8022810455223324,0.7855708378662855,0.8463426680840886,0,0.0,0,19,0.7664185639229422,0.7781364443367854,0.8281475065060505,0.7636457555331474,0,0.0,0,0,0
segformer_b2_teacher,185,0.8191682870225178,0.769239935340936,0.7281349717945771,0.8592070384163075,0,0.0,0,74,0.817286806180029,0.7502887737889085,0.7345542058350757,0.8104613888329742,0,0.0,0,19,0.8226030569708198,0.7227743398335867,0.8222978403775619,0.7156106406092464,0,0.0,0,0,0
segformer_b0_distilled,185,0.8166814266162145,0.7680109559522049,0.723120448318381,0.8624599929086207,0,0.0,0,74,0.8157084009131432,0.7619275830991981,0.7430742219954167,0.8195051794724781,0,0.0,0,19,0.829388329036794,0.7186475420244666,0.7831719675795877,0.7135380038739069,0,0.0,0,0,0
segformer_b0_direct,185,0.8129374249389159,0.7663177797978681,0.7269959042001162,0.8598762092582234,1,0.005405405405405406,1,74,0.8105843348621544,0.7559632986493439,0.7502739859850616,0.8096652340771995,1,0.013513513513513514,1,19,0.8274080014256437,0.6971094580647401,0.7781378351225472,0.7239958717870071,1,0.05263157894736842,1,0,0
lraspp_mobilenetv3,185,0.7901680590948679,0.7458129798501084,0.7646069249438142,0.7726811095538157,1,0.005405405405405406,0,74,0.7801240556357086,0.7134469972102924,0.7581469776612831,0.7218836462355388,1,0.013513513513513514,0,19,0.7854710556186152,0.7420618251601269,0.8628098249637428,0.6595348703632475,1,0.05263157894736842,0,1,1
lraspp_mobilenetv3_b2kd,185,0.7774036286877418,0.7213002189935579,0.7040281858335901,0.8300848649365226,1,0.005405405405405406,1,74,0.7315620888033431,0.6632686260767461,0.6703561394678257,0.7942228805403219,1,0.013513513513513514,1,19,0.7477854330708661,0.7143166354846379,0.8442117525178299,0.7040464330236188,0,0.0,0,0,0
topformer_tiny_b2kd,185,0.7455576559546314,0.6971385420382296,0.7024391953446288,0.7525787047299114,1,0.005405405405405406,0,74,0.7214105740098649,0.6678715694403642,0.7310258283916253,0.6661600252311137,1,0.013513513513513514,0,19,0.6773396580689791,0.617027860724685,0.7686669966113499,0.5441933235064255,1,0.05263157894736842,0,1,1
p3_adaptive_boundary,185,0.8221336874723328,0.7668427647712083,0.7276553802062046,0.8575165577838472,1,0.005405405405405406,0,74,0.8199049527919033,0.7546575010578103,0.7417188571008946,0.8049999976396874,1,0.013513513513513514,0,19,0.8221336874723328,0.6586138898335081,0.6880791367872184,0.6967832463114975,1,0.05263157894736842,0,1,1
p3_adaptive_hard,185,0.8023223148234854,0.7414452622931029,0.7057627033409413,0.8249190649438776,1,0.005405405405405406,0,74,0.7999509182707907,0.7246013220477759,0.7263112676441044,0.7599436551938561,1,0.013513513513513514,0,19,0.7887998085437358,0.6632514358312748,0.7075868879363053,0.6821149300078583,1,0.05263157894736842,0,1,1
p2_bpkd_b5_to_b0,185,0.8091268100043879,0.7651317867324433,0.7335006798712881,0.8520878668858805,1,0.005405405405405406,1,74,0.7983702043770504,0.7484508717742688,0.7283664637537812,0.8245727764375627,1,0.013513513513513514,1,19,0.7716496744871637,0.7197036991813173,0.7329027039480264,0.7607898557805723,0,0.0,0,0,0
expA_b5_to_b0_response,185,0.8060798228395993,0.768306009518771,0.712771607995199,0.8713399617840425,1,0.005405405405405406,0,74,0.798838373326197,0.7570819575132736,0.728765060015966,0.8178880839485749,1,0.013513513513513514,0,19,0.7879475542107918,0.7087819310789769,0.6933664294901829,0.7639717851522653,1,0.05263157894736842,0,1,1
topformer_tiny_distilled,185,0.7502742621678752,0.686246957254311,0.6632216174876714,0.780017114457151,1,0.005405405405405406,0,74,0.7432917811380724,0.6745601185290832,0.7102802187722165,0.6903841731166529,1,0.013513513513513514,0,19,0.6719223771983021,0.6331853405339981,0.7324603959036994,0.5976599225713014,1,0.05263157894736842,0,1,1
topformer_tiny_rgkd,185,0.7456680287591165,0.679817816137044,0.6565352384933665,0.7739224858504611,1,0.005405405405405406,0,74,0.7404908832789381,0.6729534904596346,0.7119131220536091,0.6801644174927677,1,0.013513513513513514,0,19,0.7549476135040745,0.6348651591312573,0.7188483291138402,0.5964559485692744,1,0.05263157894736842,0,1,1
p3_adaptive,185,0.8171701112877583,0.7748439694052848,0.7423310201103652,0.8478776260484698,2,0.010810810810810811,0,74,0.8241254107998455,0.7807856549402902,0.7966983691319737,0.7869349335662987,1,0.013513513513513514,0,19,0.803982683982684,0.7330658895402026,0.7974957797578516,0.7010519762970155,1,0.05263157894736842,0,2,1
