model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
segformer_b5_teacher,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,Light (II-III),9,39,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,Brown (V),12,29,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,Light (II-III),9,39,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,Brown (V),12,29,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,Light (II-III),9,39,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,Brown (V),12,29,0,0,0,0.0,0.0,0.0
segformer_b0_direct,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
segformer_b0_direct,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
segformer_b0_direct,Light (II-III),9,39,1,1,0,0.02564102564102564,0.02564102564102564,0.0
segformer_b0_direct,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
segformer_b0_direct,Brown (V),12,29,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,Light (II-III),9,39,2,1,1,0.05128205128205128,0.02564102564102564,0.02564102564102564
segformer_b0_rgkd,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,Brown (V),12,29,0,0,0,0.0,0.0,0.0
unet_r50,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
unet_r50,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
unet_r50,Light (II-III),9,39,6,6,0,0.15384615384615385,0.15384615384615385,0.0
unet_r50,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
unet_r50,Brown (V),12,29,1,1,0,0.034482758620689655,0.034482758620689655,0.0
deeplabv3plus_r50,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
deeplabv3plus_r50,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
deeplabv3plus_r50,Light (II-III),9,39,5,4,1,0.1282051282051282,0.10256410256410256,0.02564102564102564
deeplabv3plus_r50,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
deeplabv3plus_r50,Brown (V),12,29,0,0,0,0.0,0.0,0.0
yolo_sem_direct,Intermediate (III-IV),17,38,2,2,0,0.05263157894736842,0.05263157894736842,0.0
yolo_sem_direct,Dark (VI),15,55,2,2,0,0.03636363636363636,0.03636363636363636,0.0
yolo_sem_direct,Light (II-III),9,39,6,6,0,0.15384615384615385,0.15384615384615385,0.0
yolo_sem_direct,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
yolo_sem_direct,Brown (V),12,29,2,2,0,0.06896551724137931,0.06896551724137931,0.0
yolo_sem_distilled,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
yolo_sem_distilled,Dark (VI),15,55,1,1,0,0.01818181818181818,0.01818181818181818,0.0
yolo_sem_distilled,Light (II-III),9,39,4,3,1,0.10256410256410256,0.07692307692307693,0.02564102564102564
yolo_sem_distilled,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
yolo_sem_distilled,Brown (V),12,29,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,Light (II-III),9,39,1,0,1,0.02564102564102564,0.0,0.02564102564102564
lraspp_mobilenetv3,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3,Brown (V),12,29,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,Light (II-III),9,39,1,1,0,0.02564102564102564,0.02564102564102564,0.0
lraspp_mobilenetv3_b2kd,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_b2kd,Brown (V),12,29,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,Intermediate (III-IV),17,38,1,1,0,0.02631578947368421,0.02631578947368421,0.0
lraspp_mobilenetv3_distilled,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,Light (II-III),9,39,2,1,1,0.05128205128205128,0.02564102564102564,0.02564102564102564
lraspp_mobilenetv3_distilled,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
lraspp_mobilenetv3_distilled,Brown (V),12,29,0,0,0,0.0,0.0,0.0
topformer_tiny,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
topformer_tiny,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
topformer_tiny,Light (II-III),9,39,3,3,0,0.07692307692307693,0.07692307692307693,0.0
topformer_tiny,Tan (IV),15,24,0,0,0,0.0,0.0,0.0
topformer_tiny,Brown (V),12,29,1,1,0,0.034482758620689655,0.034482758620689655,0.0
topformer_tiny_b2kd,Intermediate (III-IV),17,38,0,0,0,0.0,0.0,0.0
topformer_tiny_b2kd,Dark (VI),15,55,0,0,0,0.0,0.0,0.0
