group,teacher,mean_val_dice,weight,n_images,n_subjects
Light (II-III),segformer_b5_teacher,0.7364828336477539,0.26753746900920794,31,7
Light (II-III),deeplabv3plus_r50,0.7678642230755439,0.3438861842922768,31,7
Light (II-III),medsam_ft,0.7831365885864857,0.3885763466985154,31,7
Intermediate (III-IV),segformer_b5_teacher,0.8057113582042227,0.3235650122407984,47,12
Intermediate (III-IV),deeplabv3plus_r50,0.8131428945112621,0.34338502840874724,47,12
Intermediate (III-IV),medsam_ft,0.8093229141868448,0.33304995935045434,47,12
Tan (IV),segformer_b5_teacher,0.8131650269182297,0.3749635305925963,21,11
Tan (IV),deeplabv3plus_r50,0.7802595568778137,0.28817992053724617,21,11
Tan (IV),medsam_ft,0.7997685768222583,0.3368565488701575,21,11
Brown (V),segformer_b5_teacher,0.805046583440013,0.4103098038202045,7,4
Brown (V),deeplabv3plus_r50,0.7267732611809402,0.21936256642809746,7,4
Brown (V),medsam_ft,0.7922310342158536,0.37032762975169786,7,4
Dark (VI),segformer_b5_teacher,0.7928274597028382,0.36193032343728915,28,8
Dark (VI),deeplabv3plus_r50,0.7689525421718882,0.29900263209928557,28,8
Dark (VI),medsam_ft,0.784670727515044,0.33906704446342534,28,8
