model,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate,mean_dice,median_dice
fastscnn_distilled,185,13,8,5,0.07027027027027027,0.043243243243243246,0.02702702702702703,0.6327557810217977,0.7229998409416256
yolo_sem_direct,185,12,12,0,0.06486486486486487,0.06486486486486487,0.0,0.7021261834301191,0.8060514666536946
fastscnn,185,7,4,3,0.03783783783783784,0.021621621621621623,0.016216216216216217,0.6381202346413283,0.6773183774618495
ppmobileseg_tiny_rgkd,185,7,5,2,0.03783783783783784,0.02702702702702703,0.010810810810810811,0.6781858246008604,0.7329012069736254
ppmobileseg_tiny,185,7,6,1,0.03783783783783784,0.032432432432432434,0.005405405405405406,0.6483675371996476,0.7192631157388867
unet_r50,185,7,7,0,0.03783783783783784,0.03783783783783784,0.0,0.7570133121939513,0.8328752309286712
fastscnn_rgkd,185,6,1,5,0.032432432432432434,0.005405405405405406,0.02702702702702703,0.6417204511263176,0.694188051526524
fastscnn_b2kd,185,6,2,4,0.032432432432432434,0.010810810810810811,0.021621621621621623,0.6504153810601941,0.7036633528530574
deeplabv3plus_r50,185,5,4,1,0.02702702702702703,0.021621621621621623,0.005405405405405406,0.7583768558852945,0.8183441196161572
yolo_sem_distilled,185,5,4,1,0.02702702702702703,0.021621621621621623,0.005405405405405406,0.7260703223271404,0.8011545122185877
p2_cwd_b5_to_b0,185,4,1,3,0.021621621621621623,0.005405405405405406,0.016216216216216217,0.7736213046375027,0.823045267489712
ppmobileseg_tiny_b2kd,185,4,3,1,0.021621621621621623,0.016216216216216217,0.005405405405405406,0.6758656100497099,0.7077697090512127
ppmobileseg_tiny_distilled,185,4,3,1,0.021621621621621623,0.016216216216216217,0.005405405405405406,0.6891336426271607,0.7550700280112045
topformer_tiny,185,4,4,0,0.021621621621621623,0.021621621621621623,0.0,0.6801360613802793,0.7406317611423626
lraspp_mobilenetv3_distilled,185,3,2,1,0.016216216216216217,0.010810810810810811,0.005405405405405406,0.7199779803092176,0.7835990888382688
p3_adaptive_full,185,3,2,1,0.016216216216216217,0.010810810810810811,0.005405405405405406,0.7515250919573535,0.7984382130723594
p2_ensemble_uniform,185,2,0,2,0.010810810810810811,0.0,0.010810810810810811,0.7614730219604802,0.813945766463752
p3_adaptive,185,2,0,2,0.010810810810810811,0.0,0.010810810810810811,0.7748439694052847,0.8171701112877583
lraspp_mobilenetv3_rgkd,185,2,1,1,0.010810810810810811,0.005405405405405406,0.005405405405405406,0.7246397383719484,0.7777109882183217
p3_adaptive_group,185,2,1,1,0.010810810810810811,0.005405405405405406,0.005405405405405406,0.7585841363527743,0.8047451669595782
segformer_b0_rgkd,185,2,1,1,0.010810810810810811,0.005405405405405406,0.005405405405405406,0.7655657400501422,0.8157619754715943
x_angular_b5_to_b0,185,2,1,1,0.010810810810810811,0.005405405405405406,0.005405405405405406,0.7418187732569852,0.8043323922267902
expA_b5_to_b0_response,185,1,0,1,0.005405405405405406,0.0,0.005405405405405406,0.768306009518771,0.8060798228395993
lraspp_mobilenetv3,185,1,0,1,0.005405405405405406,0.0,0.005405405405405406,0.7458129798501084,0.7901680590948679
p3_adaptive_boundary,185,1,0,1,0.005405405405405406,0.0,0.005405405405405406,0.7668427647712083,0.8221336874723328
p3_adaptive_hard,185,1,0,1,0.005405405405405406,0.0,0.005405405405405406,0.7414452622931029,0.8023223148234854
topformer_tiny_b2kd,185,1,0,1,0.005405405405405406,0.0,0.005405405405405406,0.6971385420382296,0.7455576559546314
topformer_tiny_distilled,185,1,0,1,0.005405405405405406,0.0,0.005405405405405406,0.686246957254311,0.7502742621678752
topformer_tiny_rgkd,185,1,0,1,0.005405405405405406,0.0,0.005405405405405406,0.679817816137044,0.7456680287591165
lraspp_mobilenetv3_b2kd,185,1,1,0,0.005405405405405406,0.005405405405405406,0.0,0.7213002189935577,0.7774036286877418
p2_bpkd_b5_to_b0,185,1,1,0,0.005405405405405406,0.005405405405405406,0.0,0.7651317867324433,0.8091268100043879
segformer_b0_direct,185,1,1,0,0.005405405405405406,0.005405405405405406,0.0,0.7663177797978681,0.8129374249389159
segformer_b0_distilled,185,0,0,0,0.0,0.0,0.0,0.7680109559522049,0.8166814266162145
segformer_b2_teacher,185,0,0,0,0.0,0.0,0.0,0.769239935340936,0.8191682870225178
segformer_b5_teacher,185,0,0,0,0.0,0.0,0.0,0.7726825624487283,0.8273092369477911
