model,stratum,n_subjects,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate
segformer_b5_teacher,D7,11,18,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D4,13,18,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D9,10,18,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D6,13,18,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D10,10,19,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D5,12,19,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D3,9,19,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D2,8,18,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D8,8,19,0,0,0,0.0,0.0,0.0
segformer_b5_teacher,D1,7,19,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D7,11,18,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D4,13,18,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D9,10,18,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D6,13,18,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D10,10,19,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D5,12,19,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D3,9,19,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D2,8,18,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D8,8,19,0,0,0,0.0,0.0,0.0
segformer_b2_teacher,D1,7,19,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D7,11,18,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D4,13,18,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D9,10,18,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D6,13,18,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D10,10,19,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D5,12,19,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D3,9,19,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D2,8,18,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D8,8,19,0,0,0,0.0,0.0,0.0
segformer_b0_distilled,D1,7,19,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D7,11,18,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D4,13,18,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D9,10,18,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D6,13,18,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D10,10,19,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D5,12,19,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D3,9,19,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D2,8,18,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D8,8,19,0,0,0,0.0,0.0,0.0
segformer_b0_direct,D1,7,19,1,1,0,0.05263157894736842,0.05263157894736842,0.0
segformer_b0_rgkd,D7,11,18,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D4,13,18,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D9,10,18,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D6,13,18,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D10,10,19,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D5,12,19,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D3,9,19,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D2,8,18,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D8,8,19,0,0,0,0.0,0.0,0.0
segformer_b0_rgkd,D1,7,19,2,1,1,0.10526315789473684,0.05263157894736842,0.05263157894736842
unet_r50,D7,11,18,0,0,0,0.0,0.0,0.0
unet_r50,D4,13,18,1,1,0,0.05555555555555555,0.05555555555555555,0.0
unet_r50,D9,10,18,0,0,0,0.0,0.0,0.0
