model,n_images,mean_dice,median_dice,iqr_dice,mean_iou,mean_precision,mean_recall,complete_miss_count,complete_miss_rate
segformer_b2_teacher,185,0.7692502798059441,0.8192423482187656,0.1539630280177665,0.6494884306078454,0.859220867160473,0.7281395922756926,0,0.0
segformer_b0_distilled,185,0.7680253559310343,0.8162048969072165,0.1684188150512873,0.6466400605679374,0.8623820851556702,0.7231315952922058,0,0.0
segformer_b0_direct,185,0.766330301105905,0.8127846319450195,0.1793056273107574,0.6454172503149606,0.859870306196091,0.7270333930192932,1,0.005405405405405406
segformer_b0_rgkd,185,0.7660417958076489,0.8035023158429033,0.16863075994373133,0.6463615680195519,0.8648408957114436,0.7180916537585454,2,0.010810810810810811
deeplabv3plus_r50,185,0.7583769526490144,0.8183441196161572,0.15253912439371187,0.6429060792609474,0.8863349438756589,0.7093539701147743,5,0.02702702702702703
lraspp_mobilenetv3_b2kd,185,0.7494641653115778,0.7952075422286238,0.1906134978368519,0.6195519146054995,0.7763442274406549,0.7662424377933902,0,0.0
lraspp_mobilenetv3,185,0.7458129798501084,0.7901680590948679,0.18525736356650102,0.6165486103066783,0.7726811095538157,0.7646069249438142,1,0.005405405405405406
lraspp_mobilenetv3_distilled,185,0.7406252685886888,0.7976785824535407,0.18311488325396041,0.6138544589887739,0.8050355090634265,0.741970306925289,1,0.005405405405405406
unet_r50,185,0.7354297915753881,0.8156202502046066,0.18876850233252385,0.6244481182698202,0.8091420948151955,0.7450000619891259,9,0.04864864864864865
yolo_sem_distilled,185,0.7262348661862282,0.7993398326552544,0.2397293089058159,0.6084103788245102,0.8646891458172717,0.6778878428973152,4,0.021621621621621623
yolo_sem_direct,185,0.7020865733807025,0.8057609964966913,0.26127834869760447,0.5938344517477394,0.8782346802395924,0.6696841228046324,12,0.06486486486486487
lraspp_mobilenetv3_rgkd,185,0.70048493403396,0.761023786340242,0.24208293490512156,0.5716764999863344,0.817429483694297,0.6656248349523065,3,0.016216216216216217
topformer_tiny_distilled,185,0.6929494226153168,0.7329294588766814,0.21982507040482557,0.5554607569175694,0.7491227333058895,0.6981113150471455,2,0.010810810810810811
topformer_tiny_b2kd,185,0.6929202446750276,0.7275656805263393,0.22849961184386858,0.5562044461397414,0.7228502190858787,0.7322110467795805,2,0.010810810810810811
topformer_tiny_rgkd,185,0.6906682314284014,0.7255913559816995,0.2085619473874346,0.5540797776987527,0.7603327773676254,0.6865497173395572,2,0.010810810810810811
ppmobileseg_tiny_distilled,185,0.6891336426271607,0.7550700280112045,0.22590828415763564,0.5602157690722561,0.8021491184767963,0.6705828006807755,4,0.021621621621621623
ppmobileseg_tiny_rgkd,185,0.6820384620550544,0.7444001683043339,0.21982512322690306,0.550353140721378,0.7913622205624475,0.6656073540474883,6,0.032432432432432434
ppmobileseg_tiny_b2kd,185,0.6817607750111644,0.7253930648287745,0.20782848306473067,0.5483780094691807,0.7721991164951788,0.671251445918165,6,0.032432432432432434
topformer_tiny,185,0.6801360613802793,0.7406317611423626,0.22433672074425026,0.5442951957945431,0.7477946251327025,0.69224443289836,4,0.021621621621621623
fastscnn_b2kd,185,0.6504153810601941,0.7036633528530574,0.27660416739838845,0.5227487567812011,0.7378205108004092,0.6416405081139791,6,0.032432432432432434
ppmobileseg_tiny,185,0.6483675371996476,0.7192631157388867,0.28482300106170977,0.5183952700644586,0.8138254278157313,0.6082783707740661,7,0.03783783783783784
fastscnn,185,0.6381202346413283,0.6773183774618495,0.30604455485511706,0.5092800206517718,0.7628086307513937,0.6063181942594599,7,0.03783783783783784
fastscnn_distilled,185,0.6327557810217977,0.7229998409416256,0.3173572655281952,0.5137714029341671,0.7758049603555828,0.6081989305748913,13,0.07027027027027027
fastscnn_rgkd,185,0.6002173824041451,0.671872914163663,0.3810729898414749,0.47716997209137746,0.7733652327315652,0.5728613608402858,15,0.08108108108108109
