model,n,zero_dice_n,empty_pred_n,wrong_place_n,zero_dice_rate,empty_pred_rate,wrong_place_rate,mean_dice,median_dice
fastscnn_rgkd,185,15,10,5,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.6002173824041451,0.671872914163663
fastscnn_distilled,185,13,8,5,0.07027027027027027,0.043243243243243246,0.02702702702702703,0.6327557810217977,0.7229998409416256
yolo_sem_direct,185,12,12,0,0.06486486486486487,0.06486486486486487,0.0,0.7020865733807025,0.8057609964966913
unet_r50,185,9,5,4,0.04864864864864865,0.02702702702702703,0.021621621621621623,0.7354297915753881,0.8156202502046066
fastscnn,185,7,4,3,0.03783783783783784,0.021621621621621623,0.016216216216216217,0.6381202346413283,0.6773183774618495
ppmobileseg_tiny,185,7,6,1,0.03783783783783784,0.032432432432432434,0.005405405405405406,0.6483675371996476,0.7192631157388867
fastscnn_b2kd,185,6,2,4,0.032432432432432434,0.010810810810810811,0.021621621621621623,0.6504153810601941,0.7036633528530574
ppmobileseg_tiny_b2kd,185,6,5,1,0.032432432432432434,0.02702702702702703,0.005405405405405406,0.6817607750111644,0.7253930648287745
ppmobileseg_tiny_rgkd,185,6,5,1,0.032432432432432434,0.02702702702702703,0.005405405405405406,0.6820384620550544,0.7444001683043339
deeplabv3plus_r50,185,5,4,1,0.02702702702702703,0.021621621621621623,0.005405405405405406,0.7583769526490144,0.8183441196161572
ppmobileseg_tiny_distilled,185,4,3,1,0.021621621621621623,0.016216216216216217,0.005405405405405406,0.6891336426271607,0.7550700280112045
yolo_sem_distilled,185,4,3,1,0.021621621621621623,0.016216216216216217,0.005405405405405406,0.7262348661862282,0.7993398326552544
topformer_tiny,185,4,4,0,0.021621621621621623,0.021621621621621623,0.0,0.6801360613802793,0.7406317611423626
lraspp_mobilenetv3_rgkd,185,3,0,3,0.016216216216216217,0.0,0.016216216216216217,0.70048493403396,0.761023786340242
segformer_b0_rgkd,185,2,0,2,0.010810810810810811,0.0,0.010810810810810811,0.7660417958076489,0.8035023158429033
topformer_tiny_distilled,185,2,1,1,0.010810810810810811,0.005405405405405406,0.005405405405405406,0.6929494226153168,0.7329294588766814
topformer_tiny_rgkd,185,2,1,1,0.010810810810810811,0.005405405405405406,0.005405405405405406,0.6906682314284014,0.7255913559816995
topformer_tiny_b2kd,185,2,2,0,0.010810810810810811,0.010810810810810811,0.0,0.6929202446750276,0.7275656805263393
lraspp_mobilenetv3,185,1,0,1,0.005405405405405406,0.0,0.005405405405405406,0.7458129798501084,0.7901680590948679
lraspp_mobilenetv3_distilled,185,1,1,0,0.005405405405405406,0.005405405405405406,0.0,0.7406252685886888,0.7976785824535407
segformer_b0_direct,185,1,1,0,0.005405405405405406,0.005405405405405406,0.0,0.766330301105905,0.8127846319450195
lraspp_mobilenetv3_b2kd,185,0,0,0,0.0,0.0,0.0,0.7494641653115778,0.7952075422286238
segformer_b0_distilled,185,0,0,0,0.0,0.0,0.0,0.7680253559310343,0.8162048969072165
segformer_b2_teacher,185,0,0,0,0.0,0.0,0.0,0.7692502798059441,0.8192423482187656
